reciter,surah_number,surah_name,ayah_number,audio_url,segment_number,start_time,end_time,duration
khalifa-al-tunaiji-murattal-hafs-958,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/084016.mp3,3,3040,4560,1520
khalifa-al-tunaiji-murattal-hafs-958,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/084017.mp3,3,1920,2560,640
khalifa-al-tunaiji-murattal-hafs-958,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/084018.mp3,3,1680,2440,760
khalifa-al-tunaiji-murattal-hafs-958,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/khalifaAlTunaiji/084019.mp3,4,4320,5640,1320
maher-al-mu-aiqly-murattal-hafs-948,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113001.mp3,4,1680,2480,800
maher-al-mu-aiqly-murattal-hafs-948,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/113002.mp3,4,1530,1630,100
maher-al-mu-aiqly-murattal-hafs-948,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/084016.mp3,3,2280,3400,1120
maher-al-mu-aiqly-murattal-hafs-948,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/084017.mp3,3,1280,1800,520
maher-al-mu-aiqly-murattal-hafs-948,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/084018.mp3,3,1160,1880,720
maher-al-mu-aiqly-murattal-hafs-948,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/maherAlMuaiqly/084019.mp3,4,3360,4440,1080
mahmoud-khalil-al-husary-mujawwad-hafs-956,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/husaryMujawwad/113001.mp3,4,7160,9520,2360
mahmoud-khalil-al-husary-mujawwad-hafs-956,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/husaryMujawwad/113002.mp3,4,6130,6230,100
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/husaryMujawwad/084016.mp3,3,9080,11920,2840
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/husaryMujawwad/084017.mp3,3,5160,6240,1080
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/husaryMujawwad/084018.mp3,3,4640,6120,1480
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/husaryMujawwad/084019.mp3,4,7720,9720,2000
mahmoud-khalil-al-husary-murattal-hafs-955,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113001.mp3,4,3240,6360,3120
mahmoud-khalil-al-husary-murattal-hafs-955,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/husaryMuallim/113002.mp3,4,2570,2670,100
mahmoud-khalil-al-husary-murattal-hafs-955,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/husaryMuallim/084016.mp3,3,3360,7080,3720
mahmoud-khalil-al-husary-murattal-hafs-955,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/husaryMuallim/084017.mp3,3,2640,3480,840
mahmoud-khalil-al-husary-murattal-hafs-955,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/husaryMuallim/084018.mp3,3,2160,3320,1160
mahmoud-khalil-al-husary-murattal-hafs-955,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/husaryMuallim/084019.mp3,4,4640,9240,4600
mishari-rashid-al-afasy-murattal-hafs-953,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/alafasy/113001.mp3,4,2240,3520,1280
mishari-rashid-al-afasy-murattal-hafs-953,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/alafasy/113002.mp3,4,2330,2430,100
mishari-rashid-al-afasy-murattal-hafs-953,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/alafasy/084016.mp3,3,2840,4400,1560
mishari-rashid-al-afasy-murattal-hafs-953,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/alafasy/084017.mp3,3,1600,2240,640
mishari-rashid-al-afasy-murattal-hafs-953,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/alafasy/084018.mp3,3,1400,2200,800
mishari-rashid-al-afasy-murattal-hafs-953,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/alafasy/084019.mp3,4,4160,5480,1320
mohamed-al-tablawi-recitation-murattal-hafs-73,113,Al-Falaq,1,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113001.mp3,4,3400,4820,1420
mohamed-al-tablawi-recitation-murattal-hafs-73,113,Al-Falaq,2,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/113002.mp3,4,3930,4860,930
mohamed-al-tablawi-recitation-murattal-hafs-73,84,Al-Inshiqaq,16,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/084016.mp3,3,3410,4480,1070
mohamed-al-tablawi-recitation-murattal-hafs-73,84,Al-Inshiqaq,17,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/084017.mp3,3,2710,3440,730
mohamed-al-tablawi-recitation-murattal-hafs-73,84,Al-Inshiqaq,18,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/084018.mp3,3,2450,3460,1010
mohamed-al-tablawi-recitation-murattal-hafs-73,84,Al-Inshiqaq,19,https://mirrors.quranicaudio.com/everyayah/Mohammad_al_Tablaway_128kbps/084019.mp3,4,5670,6670,1000
muhammad-siddiq-al-minshawi-murattal-hafs-959,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113001.mp3,4,2800,4120,1320
muhammad-siddiq-al-minshawi-murattal-hafs-959,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/113002.mp3,4,2210,2310,100
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/084016.mp3,3,3720,5600,1880
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/084017.mp3,3,2440,3280,840
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/084018.mp3,3,2040,3160,1120
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/minshawyMurattal/084019.mp3,4,4640,6080,1440
saad-al-ghamdi-murattal-hafs-954,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/ghamadi/113001.mp3,4,2000,3160,1160
saad-al-ghamdi-murattal-hafs-954,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/ghamadi/113002.mp3,4,2130,2230,100
saad-al-ghamdi-murattal-hafs-954,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/ghamadi/084016.mp3,3,2240,3560,1320
